start,open,high,low,close,volume
1505952000,3874.8,3905,3562,3603.9,23871.696919429993
1506038400,3603.3,3748,3490.5,3602.3,24880.91170083001
1506124800,3599,3808.7,3556,3779.6,14650.183520300003
1506211200,3779.6,3783,3618.5,3654.7,9966.827233110002
1506297600,3654.4,3977,3653.7,3930.1,22372.27554752
1506384000,3930.1,3985,3847,3881.5,9816.924349089984
1506470400,3881.6,4229.5,3877.7,4209.7,28899.51780926999
1506556800,4210.8,4269,4125,4190.7,17732.83375443
1506643200,4190.7,4245,4024.7,4168,18576.007840720013
1506729600,4168,4397,4160.1,4367.1,18104.093841320006
1506816000,4367.1,4424,4249.7,4404.3,13178.227915360001
1506902400,4404.3,4482,4359.5,4401.1,14690.552185309984
1506988800,4400.9,4439.9,4217.5,4310.4,12942.56487381001
1507075200,4315,4359.2,4176.2,4215.8,12875.951450079998
1507161600,4214.4,4372.3,4133.1,4312,13604.11787352999
1507248000,4312,4425.8,4284.9,4370.2,14018.571095890002
1507334400,4370.1,4505,4314.9,4437.5,10394.494626229996
1507420800,4435.9,4632.4,4417.5,4611.9,18328.57688299997
1507507200,4611.8,4879.8,4554.5,4782.3,27231.00801500999
1507593600,4782.3,4940,4716.9,4777.7,22280.47306752
1507680000,4777.1,4881.4,4715.4,4824.9,14451.065940580009
1507766400,4824.9,5445,4815.1,5440,44309.71336053
1507852800,5440,5899.9,5374.8,5636.8,49113.14243645998
1507939200,5636.8,5857.4,5568,5834.8,20636.95708582002
1508025600,5834.9,5877,5450.1,5713.9,25087.353029260037
1508112000,5712,5810,5570.2,5764.8,15390.106794150011
1508198400,5764.8,5779,5512.4,5597,14022.729923070001
1508284800,5597.8,5597.9,5114.1,5568,33027.15817617998
1508371200,5572,5744,5505.8,5694.2,20274.435323760023
1508457600,5694,6088.4,5603.4,5983.8,35129.73161551997
1508544000,5983.8,6199.9,5873.4,6005.1,27232.807687060038
1508630400,6005.9,6075,5708.5,5982.7,23288.192037639994
1508716800,5982.4,6055,5625,5907,31140.714853900023
1508803200,5907,5907,5457.6,5510,26464.19820900998
1508889600,5510,5746.9,5367.9,5724.3,22263.91264761001
1508976000,5724.3,5966.6,5670,5889.9,21812.078162729988
1509062400,5890,6020,5682,5759.7,17669.715068509988
1509148800,5759.8,5864,5633,5720.4,13129.118977399987
1509235200,5719.7,6345,5662.9,6152.1,32877.19121561
1509321600,6150,6239,6009.9,6128.2,15760.002239020001
1509408000,6129.9,6481.5,6083.5,6455.1,20359.40845936004
1509494400,6450.2,6739.9,6348.2,6739.6,30692.586836280007
1509580800,6739.4,7350,6719.9,7018.9,49562.74439144993
1509667200,7018.9,7448,6920.2,7132,30518.68166242999
1509753600,7132.1,7530,6932,7369,25062.001016910028
1509840000,7370,7598,7272.1,7370.5,22711.32282987002
1509926400,7370.3,7440,6914.9,6956.5,28901.318497329947
1510012800,6958.6,7220,6950,7104,18631.82946454002
1510099200,7102.1,7899.9,6986.3,7446.3,47103.52352785998
1510185600,7446,7450,7013.8,7126.2,21443.47438845996
1510272000,7125.9,7324,6405.1,6548,37652.99873086
1510358400,6542.2,6789,6165.4,6302.7,32186.45917058998
1510444800,6299.8,6469.6,5449.9,5819.4,82347.53718587004
1510531200,5810,6682,5780.2,6479.6,62086.21896813999
1510617600,6476.6,6689.5,6303.8,6590,24872.544604169983
1510704000,6590,7319,6590,7267.3,39539.29742207998
1510790400,7272.2,8020,7094.4,7865.2,44234.80656694999
1510876800,7865.2,8040,7509.5,7675.9,35126.18190379998
1510963200,7674.1,7867.8,7413.1,7773.3,19676.96892908999
1511049600,7773.3,8130,7650.9,8052.7,20836.803097819975
1511136000,8052.6,8315,7939,8248.8,21511.14005485
1511222400,8248.9,8380,7760,8096.9,32667.222943470002
1511308800,8094.9,8310,8065.6,8230.1,15503.85882134997
1511395200,8230.1,8268,7975.8,7977.7,13890.637412559987
1511481600,7977.73459081,8352.1,7872.9,8191.7,21589.600781020028
1511568000,8191.7,8770,8132.2,8759.7,23614.692284509998
1511654400,8759.2,9495,8746.9,9302.4,37956.45356997998
1511740800,9306.6,9771,9254,9723.6,33914.164395619955
1511827200,9723,9999,9583,9892,25123.189338600052
1511913600,9895.2,11441,9001.1,9771.85883453,90368.40944612
1512000000,9771.5,10542,8822,9907.1,61389.95451573994
1512086400,9907.1,10950,9371.3,10861,42372.60026204999
1512172800,10861,11190,10627,10881,23841.809596400017
1512259200,10880,11874,10249,11162,48335.681614910034
1512345600,11162,11600,10746,11599,29421.02184676001
1512432000,11599,11961,11415,11592,24786.808873150003
1512518400,11592,13599,11591,13507,47271.66232611008
1512604800,13517,16649,13145,16609,76424.73182901018
1512691200,16606,17171,13726,15851,60384.18672432009
1512777600,15843,16300,13020,14661,37215.97023601997
1512864000,14687,15741,12731,14901,53266.92468272998
1512950400,14943,17450,14901,16754,39690.301074660034
1513036800,16754,17579,16230,16969,25033.949081239996
1513123200,16972,17293,15652,16175,27130.833093829984
1513209600,16173,16999,15870,16385,20294.896532310053
1513296000,16385,18111,16349,17524,33469.88399459996
1513382400,17569.54956141,19550,17080,19210,26323.89564651001
1513468800,19210,19891,18623,18970,24056.375607530023
1513555200,18969,19175,18011,18933,24049.524266349963
1513641600,18925,18987,16450,17345,29756.379096999968
1513728000,17340,17709,15516,16433,38958.20590849002
1513814400,16427,17333,14815,15650,30311.598899960012
1513900800,15649,15842.42999525,10707,13171,80051.06337217991
1513987200,13174,14999,12530,14036,29267.467967189998
1514073600,14036,14050,11619,13502,33918.128008779946
1514160000,13543,14278,12676,13634,21302.84901185993
1514246400,13634,16060,13549,15680,37179.15217969003
1514332800,15680,16494,14459,15375,26450.355132660025
1514419200,15388,15468,13217,14324,33640.79986657006
1514505600,14325,15131,13836,14308,21467.658646650005
1514592000,14305,14417,11656,12379,33694.72941522
1514678400,12395,14210,12170,13766,22180.66645979996
1514764800,13769,13893,12777,13377,29390.53043138003
1514851200,13374,15500,12800,14713,55269.217383900024
1514937600,14723.09574779,15428.83091885,14500,15151,38162.56381560993
1515024000,15140,15422.15785315,14061,15159,45995.532798940025
1515110400,15160,17105,14725,16911,53888.926367470034
1515196800,16912,17252,16251,17163,29351.168900779976
1515283200,17165,17178,15712,16215.35727958,30596.304540249992
1515369600,16215.35727958,16329,13755,14907,64298.00030326999
1515456000,14906,15355,14122,14425,43248.57161568998
1515542400,14426,14900,13300,14898,56613.72384521995
